FileName,IMPRINT DATE,AUTHOR,Unique,Group,TITLE,pub location,PubControl,Circulating,Epist?,Claim type,TOTAL # IMAGE FILES,# VOL,ENDID,format
Wilson_ec7_a100_723i_TM.txt,1723,Anon,No,Anon,Love-letters between a certain late nobleman and the famous Mr. Wilson :,London,A. Moore,N,Epistolary,None,71,1,5427451,Octavo
Convent_pr3291_a7_a53_1771_TM.txt,1771,the author of Memoirs of Mrs. Williams,No,Anon,Anecdotes of a convent. By the author of Memoirs of Mrs. Williams. In three volumes. Vol. I.,London,Becket and de Hondt,N,Epistolary,Reference to other works,801,3,341336,Octavo
Maiden_pr3291_a6_l33_1776_TM.txt,1776,Lady,No,Anon Lady,The maiden aunt. Written by a lady. In three volumes. Vol. I.,London,Bew,N,Epistolary,None,755,3,341538,Duodecimo
Masq_pr3991_a7_e44_1780_TM.txt,1780,Anon,No,Anon,"Masquerades; or, what you will. By the author of Eliza Warwick, &c. In two volumes. Vol. I.",London,Bew,N,Epistolary,None,1112,4,341549,Duodecimo
School_pr3991_a6_l327_1776_TM.txt,1776,Lady,No,Anon Lady,The school for husbands. Written by a lady. In two volumes. Vol. I.,Dublin :,Chamberlaine et al,N,Epistolary,Generic/Descriptive,268,1,341629,Duodecimo
Tick_pr_3291_a1_l683_1724_TM.txt,1724,Anon,No,Anon,"Love upon tick: or, implicit gallantry. Exemplified, in some merry memoirs of the rise and progress of an extraordinary and occasional amour. In which the whole mechanism of that passion is expos'd, and made obvious to the meanest capacity.",London :,Billingsley and Meadows,N,Epistolary,Reference to other works,186,1,276081,Octavo
Pacquet_pr3291_a1_p123_1701_TM.txt,1701,Anon,No,Anon,"A pacquet from Will's: or, a new collection of original letters on several subjects; containing pleasant memoirs, intrigues and adventures that lately hapned at London, Hampton Court, Tunbridge, Epsom, North Hall and the Bath. With several satyrical characters, both of ladies and gentlemen, in prose and verse; with original letters by King Charles II. and the late Q. of Sweden. Written and collected by several hands.",London,Briscoe,N,Epistolary,Generic/Descriptive,139,1,1813449,Octavo
Example_ec75_a100_778e_TM.txt,1778,Young lady,No,Anon Lady,"The Example, or The history of Lucy Cleveland.",London :,Fielding and Walker,N,Epistolary,None,514,2,276135,Duodecimo
HenryVIII_da331_h35_l6_1714_TM.txt,1714,"[Hearne, Thomas?]",No,Other,Love-letters from King Henry VIII to Anne Boleyn,London,J. Churchill,N,Epistolary,Character name,72,1,1812432,Octavo
Nobleman_ec7_a100_743m_TM.txt,1743,"Annesley, James",No,Other,"Memoirs of an unfortunate young nobleman...Mr. Wilson, &c.",London :,J. Freeman,N,Epistolary,None,296,1,261003,Duodecimo
Duncan_ct788_c2_a3_TM.txt,1732,"[Defoe, Haywood?]",No,Other,Secret memoris of the late Mr. Duncan Campbell,London,J. Millan,N,Part Epistolary,Character name,267,1,266593,Octavo
Nazarenes_pr3291_a1_s43_1719_TM.txt,1719,Anon,No,Anon,The secret history of the Prince of the Nazarenes and two turks :,London,J. Moore,N,Part Epistolary,None,77,1,1802363,Folio
Voyage_pr3291_n325_n4_1713_TM.txt,1713,Anon,No,Anon,A new voyage to the island of fools,London,J. Morphew,N,Epistolary,Generic/Descriptive,66,1,6134731,Octavo
Platonic_pr_3461_f67_p69_1732_TM.txt,1720,"Fowke, Mrs. Martha and Bond, William",No,Other,"The Platonic lovers; consisting of original letters, in prose and verse, that pass'd between an English lady, and an English gentleman in France, under the borrow'd names of Clio and Strephon",London,J. Wilford,N,Epistolary,Character name,221,1,1816799,Duodecimo
Pittborough_a6_l32_1767_TM.txt,1767,Lady,No,Anon Lady,The history of Miss Pittborough. In a series of letters. By a lady. In two volumes.,London,A. Millar,N,Epistolary,Generic/Descriptive,508,1,196864,Octavo
Familiar_pr3459_f3_f3_1747_TM.txt,1747,"Fielding, Sarah",No,Other,"Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.",London :,A. Millar,N,Epistolary,Reference to other works,776,2,260699,Octavo
Postman_pr3478_g3_p6_1719_TM.txt,1719,"Gildon, Charles",No,Other,"The post-man robb'd of his mail: or the packet broke open. Being a collection of micellaneous letters, serious and comical, amorous and gallant.",London,Bettesworth,N,Epistolary,Generic/Descriptive,377,1,289811,Duodecimo
Aurea_pr3291_a1_m5_TM.txt,1720,Anon,No,Anon,Miscellanea aurea:,London,Bettesworth,N,Epistolary,Proper name,319,1,300954,Octavo
MaryQ_da787_a365_a5_1726_TM.txt,1726,Anon,No,Anon,The genuine letters of Mary Queen of Scotts,Westminster,J. Roberts,N,Epistolary,Proper name,59,1,316107,Octavo
Denouement_pr3991_a6_l316_1781_TM.txt,1781,Lady,No,Anon Lady,"The denouement: or, history of Lady Louisa Wingrove. By a lady.",Dublin :,J Exshaw,N,Epistolary,Generic/Descriptive,226,1,341393,Duodecimo
Mutability_pr3991_a6_l325_1777_TM.txt,1777,Lady,No,Anon Lady,"The mutability of human life; or memoirs of Adelaide, Marchioness of Melville. By a lady. In two volumes. Vol. I.",Dublin :,Chamberlaine et al,N,Epistolary,Generic/Descriptive,532,2,341572,Duodecimo
Union_pr3991_a6_l328_1779_TM.txt,1779,Lady,No,Anon Lady,"The unfortunate union: or, the test of virtue. A story founded on facts, and calculated to promote the cause of virtue in younger minds. Written by a lady.",Dublin :,Chamberlaine et al,N,Epistolary,None,326,1,341702,Duodecimo
Cassem_pr3291_a1_l561787_TM.txt,1787,Anon,No,Anon,"The Life of Cassem, the son of Hamid, a noble Arabian. Translated from an Oriental manuscript.",Boston,"Boston: Hall, Samuel",N,Third-person,Character name,49,1,431370,?
Perfidious_ec7_a100_702p3_TM.txt,1702,Anon,No,Anon,"The perfidious P--- being letters from a nobleman to two ladies, under the borrow'd names of Corydon, Clarinda & Lucina. With the ladies answers.",,"s.n.,",N,Epistolary,Generic/Descriptive,165,1,3451191,Duodecimo
Unnatural_pr3291_a1_u55_1734_TM.txt,1734,Anon,No,Anon,"The unnatural mother, or, Innocent love persecuted :",London,J. Roberts,N,Part Epistolary,None,121,1,3887499,Quarto
Living_pr3291_a1_l465_1703_TM.txt,1703,Anon,No,Anon,"Letters from the living to the living, relating to the present transactions both publick and private. With their several answers. ...Written by several hands.",London,"s.n.,",N,Epistolary,Generic/Descriptive,265,1,4106228,Octavo
Prude_pr3291_a6_y5_1724_TM.txt,1724,Young lady,No,Anon Lady,The prude :,London,J. Roberts,N,Part Epistolary,Initials,294,1,1813680-1,Quarto
Sommervile_pr3291_a6_l324_1769b_TM.txt,1769,Lady,No,Anon Lady,The history of Miss Sommervile. Written by a lady. In two volume. Vol. I.,Dublin :,Chamberlaine et al,N,Epistolary,Generic/Descriptive,321,1,199576-2,Duodecimo
